slot_id,kind,gold_id,meaning,expected_state,review_status,output_ids_and_fields,recovered_0_or_1,state_or_blocking_correct_0_or_1,evidence,notes
L01-1,R,R1,관리자 역할이 있다,C,pending,,,,,
L01-1,R,R3,관리자가 직원 휴가를 승인할 수 있다,C,pending,,,,,
L01-1,R,R4,관리자가 직원 휴가를 반려할 수 있다,C,pending,,,,,
L01-1,G,G1,시나리오 문서의 G1,blocking=true,pending,,,,,
L01-1,G,G2,시나리오 문서의 G2,blocking=true,pending,,,,,
L01-1,G,G3a,시나리오 문서의 G3a,blocking=true,pending,,,,,
L01-1,G,G3b,시나리오 문서의 G3b,blocking=true,pending,,,,,
L02-1,R,R1a,직원 역할,C,pending,,,,,
L02-1,R,R1b,관리자 역할,C,pending,,,,,
L02-1,R,R1c,계정과 소속팀 정보 제공,C,pending,,,,,
L02-1,R,R2,"직원의 본인 휴가 신청 및 시작일, 종료일, 사유 입력",C,pending,,,,,
L02-1,R,R3,시작일이 오늘/미래이고 시작일≤종료일 검증,C,pending,,,,,
L02-1,R,R4,"본인의 대기, 승인 건과 날짜 중복 거부",C,pending,,,,,
L02-1,R,R5a,관리자의 처리 대상은 같은 팀 직원만,C,pending,,,,,
L02-1,R,R5b,관리자의 처리 대상은 대기 건만,C,pending,,,,,
L02-1,R,R5c,승인 처리는 한 단계,C,pending,,,,,
L02-1,R,R5d,관리자가 승인할 수 있다,C,pending,,,,,
L02-1,R,R5e,관리자가 반려할 수 있다,C,pending,,,,,
L02-1,R,R6,반려 사유 필수 및 직원에게 공개,C,pending,,,,,
L02-1,R,R7a,생성 시 대기 상태,C,pending,,,,,
L02-1,R,R7b,승인은 최종 상태,C,pending,,,,,
L02-1,R,R7c,반려는 최종 상태,C,pending,,,,,
L02-1,R,R7d,취소는 최종 상태,C,pending,,,,,
L02-1,R,R8,본인 대기 건만 취소 가능,C,pending,,,,,
L02-1,R,R9,"수정 미지원, 다시 신청",C,pending,,,,,
L02-1,R,R10,처리 완료 건의 재처리 거부,C,pending,,,,,
L02-1,R,R11,직원 본인 내역/관리자 같은 팀 내역 조회 경계,C,pending,,,,,
L02-1,R,R12a,휴가 유형 구분 제외,C,pending,,,,,
L02-1,R,R12b,연차 잔액 및 차감 제외,C,pending,,,,,
L02-1,R,R12c,휴일 계산 제외,C,pending,,,,,
L02-1,R,R12d,알림 제외,C,pending,,,,,
L02-1,R,R12e,외부 연동 제외,C,pending,,,,,
